productName,productLine,Sales_Volume,Revenue
"1903 Ford Model A","Vintage Cars",883,111529
"1928 Mercedes-Benz SSK","Vintage Cars",880,132275
"1952 Citroen-15CV","Classic Cars",873,94250
"1969 Chevrolet Camaro Z28","Classic Cars",870,67356
"1992 Porsche Cayenne Turbo Silver","Classic Cars",867,92976
"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",866,71529
"1999 Indy 500 Monte Carlo SS","Classic Cars",855,100770
"1911 Ford Town Car","Vintage Cars",832,45307
"1936 Mercedes Benz 500k Roadster","Vintage Cars",824,29764
"1970 Chevy Chevelle SS 454","Classic Cars",803,53236
"1957 Ford Thunderbird","Classic Cars",767,50103
