Order_Month,customerNumber,country,productLine,productName,Purchase_count,Total_Spent
June,357,"New Zealand","Classic Cars","2001 Ferrari Enzo",1,8316
July,386,Italy,"Classic Cars","1968 Ford Mustang",1,8304
September,148,Singapore,"Classic Cars","1952 Alpine Renault 1300",1,8197
November,167,"Norway  ",Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,8192
April,172,France,"Classic Cars","1992 Ferrari 360 Spider red",1,8128
April,357,"New Zealand","Vintage Cars","1928 Mercedes-Benz SSK",1,8127
January,146,France,"Classic Cars","2001 Ferrari Enzo",1,8125
March,344,Spain,"Classic Cars","2001 Ferrari Enzo",1,8116
November,121,Norway,"Classic Cars","2001 Ferrari Enzo",1,8116
April,209,France,"Classic Cars","1992 Ferrari 360 Spider red",1,8103
April,201,UK,Motorcycles,"2002 Suzuki XREO",1,8052
November,386,Italy,"Classic Cars","1969 Ford Falcon",1,8046
May,141,Spain,"Classic Cars","1992 Porsche Cayenne Turbo Silver",2,7998
January,379,USA,"Classic Cars","1952 Alpine Renault 1300",1,7995
December,353,France,"Classic Cars","1969 Ford Falcon",1,7969
June,175,USA,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,7940
December,151,USA,"Classic Cars","1992 Ferrari 360 Spider red",1,7884
May,382,Austria,"Classic Cars","1956 Porsche 356A Coupe",1,7864
June,141,Spain,Planes,"1928 British Royal Navy Airplane",2,7835
May,458,Spain,"Classic Cars","1952 Alpine Renault 1300",1,7818
September,448,Sweden,"Classic Cars","1952 Alpine Renault 1300",1,7770
September,379,USA,"Classic Cars","1968 Ford Mustang",1,7752
October,321,USA,"Classic Cars","1968 Ford Mustang",1,7738
June,141,Spain,Planes,"1980s Black Hawk Helicopter",1,7727
September,249,Italy,"Classic Cars","1969 Ford Falcon",1,7708
October,259,Germany,"Classic Cars","1992 Ferrari 360 Spider red",1,7641
September,141,Spain,"Classic Cars","1969 Ford Falcon",1,7630
April,145,Denmark,"Classic Cars","1948 Porsche Type 356 Roadster",1,7622
April,145,Denmark,"Classic Cars","1993 Mazda RX-7",1,7598
December,353,France,"Classic Cars","2001 Ferrari Enzo",1,7593
November,350,France,"Vintage Cars","1917 Grand Touring Sedan",1,7574
March,128,Germany,"Classic Cars","1998 Chrysler Plymouth Prowler",1,7542
November,172,France,"Classic Cars","1998 Chrysler Plymouth Prowler",1,7542
November,319,USA,"Classic Cars","1992 Ferrari 360 Spider red",1,7536
October,321,USA,"Vintage Cars","1928 Mercedes-Benz SSK",1,7533
November,114,Australia,"Classic Cars","1976 Ford Gran Torino",1,7518
November,131,USA,"Classic Cars","1968 Ford Mustang",1,7499
December,323,"New Zealand",Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,7483
June,357,"New Zealand","Classic Cars","1969 Ford Falcon",1,7461
May,328,USA,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,7411
October,148,Singapore,"Classic Cars","2001 Ferrari Enzo",1,7406
March,486,USA,"Classic Cars","1992 Ferrari 360 Spider red",1,7400
February,119,France,Motorcycles,"2002 Suzuki XREO",1,7380
July,124,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,7368
March,412,"New Zealand",Planes,"1980s Black Hawk Helicopter",1,7332
February,141,Spain,"Classic Cars","1992 Ferrari 360 Spider red",1,7322
April,114,Australia,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,7305
July,124,USA,"Classic Cars","1968 Ford Mustang",1,7273
May,175,USA,"Classic Cars","2001 Ferrari Enzo",1,7257
October,148,Singapore,"Classic Cars","1992 Ferrari 360 Spider red",1,7243
March,344,Spain,"Classic Cars","1969 Ford Falcon",1,7206
January,475,USA,"Classic Cars","1952 Alpine Renault 1300",1,7201
November,363,USA,"Classic Cars","1952 Alpine Renault 1300",1,7200
October,201,UK,"Vintage Cars","1917 Grand Touring Sedan",1,7164
August,205,USA,Motorcycles,"2002 Suzuki XREO",1,7159
June,151,USA,"Classic Cars","1969 Ford Falcon",1,7122
November,333,Australia,"Classic Cars","1952 Alpine Renault 1300",1,7068
April,145,Denmark,"Classic Cars","1976 Ford Gran Torino",1,7058
August,112,USA,"Classic Cars","1992 Ferrari 360 Spider red",1,7041
November,124,USA,"Vintage Cars","1917 Grand Touring Sedan",1,7031
August,124,USA,"Classic Cars","1970 Triumph Spitfire",2,7026
November,157,USA,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,7022
January,406,France,"Classic Cars","1968 Ford Mustang",1,7020
October,124,USA,"Vintage Cars","1917 Grand Touring Sedan",1,7018
August,249,Italy,"Classic Cars","1952 Alpine Renault 1300",1,6995
February,298,Switzerland,"Classic Cars","1992 Ferrari 360 Spider red",1,6991
November,172,France,"Classic Cars","1969 Ford Falcon",1,6952
November,398,Japan,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,6949
March,124,USA,"Classic Cars","1962 LanciaA Delta 16V",1,6944
July,242,France,"Classic Cars","1992 Ferrari 360 Spider red",1,6943
July,161,USA,"Classic Cars","1952 Alpine Renault 1300",1,6898
May,334,Finland,"Classic Cars","1970 Triumph Spitfire",1,6894
July,386,Italy,"Classic Cars","1995 Honda Civic",1,6831
May,175,USA,"Classic Cars","1969 Corvair Monza",1,6817
November,386,Italy,"Classic Cars","1969 Corvair Monza",1,6817
November,486,USA,"Vintage Cars","1917 Grand Touring Sedan",1,6807
December,141,Spain,"Classic Cars","1976 Ford Gran Torino",2,6797
March,250,France,"Classic Cars","2001 Ferrari Enzo",1,6789
March,124,USA,"Classic Cars","1976 Ford Gran Torino",1,6761
April,450,USA,"Classic Cars","1965 Aston Martin DB5",1,6754
November,171,France,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,6749
April,148,Singapore,"Classic Cars","1969 Ford Falcon",1,6748
June,323,"New Zealand","Vintage Cars","1917 Grand Touring Sedan",1,6747
February,239,USA,Planes,"1980s Black Hawk Helicopter",1,6722
November,175,USA,"Classic Cars","1948 Porsche Type 356 Roadster",1,6714
October,227,Denmark,"Classic Cars","2001 Ferrari Enzo",1,6712
July,282,Australia,"Vintage Cars","1913 Ford Model T Speedster",2,6707
November,484,Spain,"Classic Cars","1998 Chrysler Plymouth Prowler",1,6703
November,385,Philippines,"Classic Cars","1957 Corvette Convertible",1,6696
November,181,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,6695
October,227,Denmark,"Classic Cars","1995 Honda Civic",1,6692
May,450,USA,Planes,"1980s Black Hawk Helicopter",1,6670
August,124,USA,Ships,"The Mayflower",2,6666
November,167,"Norway  ","Classic Cars","1992 Ferrari 360 Spider red",1,6630
May,455,USA,"Classic Cars","1952 Alpine Renault 1300",1,6630
November,382,Austria,Motorcycles,"2002 Suzuki XREO",1,6628
February,321,USA,"Classic Cars","1952 Alpine Renault 1300",1,6558
September,311,Finland,"Classic Cars","1998 Chrysler Plymouth Prowler",1,6548
July,157,USA,"Classic Cars","2001 Ferrari Enzo",1,6546
May,175,USA,"Classic Cars","1970 Triumph Spitfire",1,6545
May,350,France,"Classic Cars","1968 Ford Mustang",1,6538
July,124,USA,"Classic Cars","1956 Porsche 356A Coupe",1,6534
February,239,USA,"Classic Cars","1972 Alfa Romeo GTA",1,6531
August,320,USA,"Classic Cars","1972 Alfa Romeo GTA",1,6531
November,363,USA,"Classic Cars","1962 LanciaA Delta 16V",1,6524
April,382,Austria,Planes,"1980s Black Hawk Helicopter",1,6509
November,172,France,"Vintage Cars","1903 Ford Model A",1,6491
November,171,France,"Classic Cars","1957 Corvette Convertible",1,6482
April,357,"New Zealand","Vintage Cars","1937 Lincoln Berline",1,6478
August,204,USA,Motorcycles,"2002 Suzuki XREO",1,6477
April,424,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,6477
November,233,Canada,"Classic Cars","1992 Ferrari 360 Spider red",1,6472
June,151,USA,"Classic Cars","1969 Corvair Monza",1,6463
January,177,Japan,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,6453
April,148,Singapore,"Classic Cars","2001 Ferrari Enzo",1,6446
March,187,UK,"Vintage Cars","1917 Grand Touring Sedan",1,6426
August,286,USA,Motorcycles,"2002 Suzuki XREO",1,6421
April,145,Denmark,"Classic Cars","1995 Honda Civic",1,6419
February,145,Denmark,"Classic Cars","1972 Alfa Romeo GTA",1,6392
May,382,Austria,"Classic Cars","1999 Indy 500 Monte Carlo SS",1,6389
February,166,Singapore,"Classic Cars","1962 LanciaA Delta 16V",1,6383
December,124,USA,"Classic Cars","1952 Alpine Renault 1300",1,6378
April,148,Singapore,"Classic Cars","1969 Corvair Monza",1,6367
April,311,Finland,"Classic Cars","1992 Ferrari 360 Spider red",1,6367
December,141,Spain,"Classic Cars","1969 Corvair Monza",1,6367
June,151,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,6336
May,282,Australia,"Classic Cars","1952 Citroen-15CV",1,6330
May,353,France,Motorcycles,"2002 Suzuki XREO",1,6326
November,320,USA,"Classic Cars","1969 Ford Falcon",1,6324
February,141,Spain,"Classic Cars","1976 Ford Gran Torino",1,6321
February,189,Ireland,"Classic Cars","1970 Triumph Spitfire",1,6320
December,496,"New Zealand",Planes,"1980s Black Hawk Helicopter",1,6308
January,276,Australia,"Trucks and Buses","1958 Setra Bus",1,6295
November,385,Philippines,Planes,"1980s Black Hawk Helicopter",1,6292
April,209,France,"Vintage Cars","1917 Grand Touring Sedan",1,6273
May,119,France,"Trucks and Buses","1962 Volkswagen Microbus",1,6262
August,334,Finland,"Classic Cars","1998 Chrysler Plymouth Prowler",1,6258
October,259,Germany,"Classic Cars","1956 Porsche 356A Coupe",1,6256
July,412,"New Zealand","Vintage Cars","1932 Model A Ford J-Coupe",1,6230
July,282,Australia,"Vintage Cars","1928 Mercedes-Benz SSK",1,6227
November,455,USA,"Vintage Cars","1903 Ford Model A",1,6224
March,173,USA,"Classic Cars","1952 Alpine Renault 1300",1,6215
April,450,USA,"Classic Cars","1949 Jaguar XK 120",1,6215
December,495,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,6196
April,181,USA,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,6193
August,299,"Norway  ",Planes,"1980s Black Hawk Helicopter",1,6174
March,385,Philippines,"Classic Cars","1957 Corvette Convertible",1,6154
October,299,"Norway  ","Classic Cars","1956 Porsche 356A Coupe",1,6108
October,227,Denmark,"Classic Cars","1969 Ford Falcon",1,6104
October,448,Sweden,Planes,"1980s Black Hawk Helicopter",1,6103
January,406,France,"Classic Cars","1957 Corvette Convertible",1,6101
February,141,Spain,"Vintage Cars","1917 Grand Touring Sedan",1,6100
October,128,Germany,"Classic Cars","1968 Ford Mustang",1,6100
April,141,Spain,"Vintage Cars","1928 Mercedes-Benz SSK",1,6095
September,167,"Norway  ","Vintage Cars","1928 Mercedes-Benz SSK",1,6095
February,171,France,Motorcycles,"2002 Suzuki XREO",1,6088
April,323,"New Zealand","Classic Cars","1969 Dodge Super Bee",1,6079
July,124,USA,"Trucks and Buses","1964 Mercedes Tour Bus",1,6075
March,124,USA,"Classic Cars","1956 Porsche 356A Coupe",1,6066
February,189,Ireland,"Classic Cars","2001 Ferrari Enzo",1,6051
July,471,Australia,"Classic Cars","1976 Ford Gran Torino",1,6050
January,205,USA,"Classic Cars","1948 Porsche Type 356 Roadster",1,6044
November,363,USA,"Vintage Cars","1932 Model A Ford J-Coupe",1,6038
November,382,Austria,"Classic Cars","1969 Dodge Charger",1,6017
November,363,USA,"Classic Cars","1995 Honda Civic",1,6017
April,323,"New Zealand","Classic Cars","1957 Corvette Convertible",1,6000
March,124,USA,"Classic Cars","1957 Corvette Convertible",1,5979
February,141,Spain,"Classic Cars","1957 Corvette Convertible",1,5979
October,259,Germany,"Classic Cars","1976 Ford Gran Torino",1,5978
April,496,"New Zealand",Motorcycles,"1997 BMW R 1100 S",1,5974
March,128,Germany,"Classic Cars","1970 Triumph Spitfire",1,5972
January,334,Finland,"Classic Cars","1968 Ford Mustang",1,5971
May,406,France,"Classic Cars","1976 Ford Gran Torino",1,5966
May,141,Spain,"Trucks and Buses","1958 Setra Bus",1,5960
October,452,Austria,"Trucks and Buses","1958 Setra Bus",1,5960
May,328,USA,Motorcycles,"2002 Suzuki XREO",1,5958
October,286,USA,"Classic Cars","1992 Ferrari 360 Spider red",1,5952
December,141,Spain,"Vintage Cars","1903 Ford Model A",1,5950
March,462,USA,Motorcycles,"1996 Moto Guzzi 1100i",1,5947
June,175,USA,Motorcycles,"2002 Suzuki XREO",1,5928
November,181,USA,"Classic Cars","1970 Triumph Spitfire",1,5911
March,486,USA,"Classic Cars","1948 Porsche Type 356 Roadster",1,5910
May,131,USA,Ships,"18th century schooner",1,5899
December,495,USA,"Trucks and Buses","1962 Volkswagen Microbus",1,5878
December,353,France,"Classic Cars","1972 Alfa Romeo GTA",1,5875
October,462,USA,"Vintage Cars","1903 Ford Model A",1,5873
July,124,USA,"Classic Cars","1976 Ford Gran Torino",1,5865
June,141,Spain,"Vintage Cars","1928 Ford Phaeton Deluxe",2,5862
January,398,Japan,"Classic Cars","1969 Corvair Monza",1,5862
May,141,Spain,"Trucks and Buses","1940 Ford Pickup Truck",1,5859
May,350,France,"Classic Cars","1956 Porsche 356A Coupe",1,5857
August,157,USA,"Classic Cars","1962 LanciaA Delta 16V",1,5851
May,124,USA,"Vintage Cars","1928 Mercedes-Benz SSK",1,5847
December,124,USA,"Classic Cars","1962 LanciaA Delta 16V",1,5845
September,186,Finland,"Classic Cars","1957 Corvette Convertible",1,5833
November,172,France,"Classic Cars","2001 Ferrari Enzo",1,5829
June,201,UK,"Classic Cars","1992 Ferrari 360 Spider red",1,5825
July,250,France,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,5823
April,450,USA,"Classic Cars","1952 Citroen-15CV",1,5820
May,382,Austria,"Classic Cars","1992 Ferrari 360 Spider red",1,5808
November,319,USA,"Trucks and Buses","1957 Chevy Pickup",1,5806
July,157,USA,"Classic Cars","1969 Ford Falcon",1,5803
August,204,USA,"Classic Cars","1957 Corvette Convertible",1,5785
January,141,Spain,"Classic Cars","1956 Porsche 356A Coupe",1,5780
November,344,Spain,Ships,"18th century schooner",1,5776
October,227,Denmark,"Classic Cars","1969 Corvair Monza",1,5768
February,256,France,"Trucks and Buses","1958 Setra Bus",1,5759
November,458,Spain,"Classic Cars","1969 Corvair Monza",1,5751
December,495,USA,"Classic Cars","1970 Triumph Spitfire",1,5745
November,144,Sweden,"Classic Cars","1968 Ford Mustang",1,5730
January,398,Japan,"Classic Cars","1970 Triumph Spitfire",1,5722
January,124,USA,"Classic Cars","2001 Ferrari Enzo",1,5719
March,144,Sweden,"Classic Cars","1952 Alpine Renault 1300",1,5718
November,363,USA,"Vintage Cars","1928 Mercedes-Benz SSK",1,5711
October,227,Denmark,"Classic Cars","1998 Chrysler Plymouth Prowler",1,5708
June,166,Singapore,"Trucks and Buses","1962 Volkswagen Microbus",1,5706
February,487,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,5703
June,398,Japan,"Classic Cars","1952 Alpine Renault 1300",1,5692
March,412,"New Zealand","Classic Cars","1972 Alfa Romeo GTA",1,5679
October,202,Canada,"Classic Cars","1962 LanciaA Delta 16V",1,5673
October,187,UK,"Classic Cars","2001 Ferrari Enzo",1,5669
April,328,USA,Planes,"F/A 18 Hornet 1/72",1,5667
May,282,Australia,"Vintage Cars","1917 Grand Touring Sedan",1,5661
November,363,USA,"Classic Cars","1948 Porsche Type 356 Roadster",1,5658
November,114,Australia,"Classic Cars","1952 Alpine Renault 1300",1,5657
February,239,USA,"Classic Cars","1948 Porsche Type 356 Roadster",1,5654
February,124,USA,"Classic Cars","2001 Ferrari Enzo",1,5652
February,186,Finland,"Classic Cars","1969 Dodge Charger",1,5643
December,495,USA,"Trucks and Buses","1940s Ford truck",1,5634
November,381,Belgium,Planes,"1980s Black Hawk Helicopter",1,5625
November,484,Spain,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,5622
October,299,"Norway  ","Classic Cars","1995 Honda Civic",1,5616
February,186,Finland,"Classic Cars","1992 Ferrari 360 Spider red",1,5614
July,412,"New Zealand","Vintage Cars","1917 Grand Touring Sedan",1,5607
May,362,USA,"Classic Cars","1972 Alfa Romeo GTA",1,5598
December,324,UK,Planes,"1980s Black Hawk Helicopter",1,5596
November,353,France,"Classic Cars","1948 Porsche Type 356 Roadster",1,5595
November,455,USA,"Classic Cars","1969 Ford Falcon",1,5589
July,161,USA,"Trucks and Buses","1962 Volkswagen Microbus",1,5585
July,119,France,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,5577
April,209,France,"Classic Cars","1999 Indy 500 Monte Carlo SS",1,5576
March,462,USA,Planes,"ATA: B757-300",1,5576
January,121,Norway,"Classic Cars","1952 Alpine Renault 1300",1,5572
February,314,Belgium,Ships,"18th century schooner",1,5540
December,141,Spain,"Vintage Cars","1928 Mercedes-Benz SSK",1,5535
May,328,USA,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,5534
November,486,USA,"Classic Cars","1993 Mazda RX-7",1,5534
October,148,Singapore,"Trucks and Buses","1964 Mercedes Tour Bus",1,5533
March,128,Germany,"Classic Cars","1969 Corvair Monza",1,5522
June,175,USA,Planes,"ATA: B757-300",1,5521
March,124,USA,"Trucks and Buses","1962 Volkswagen Microbus",1,5520
December,151,USA,"Trucks and Buses","1957 Chevy Pickup",1,5518
November,146,France,"Trucks and Buses","1962 Volkswagen Microbus",1,5511
March,462,USA,Motorcycles,"2002 Suzuki XREO",1,5500
June,398,Japan,"Trucks and Buses","1958 Setra Bus",1,5492
February,321,USA,"Trucks and Buses","1940 Ford Pickup Truck",1,5488
November,386,Italy,"Classic Cars","2001 Ferrari Enzo",1,5486
January,141,Spain,"Classic Cars","1995 Honda Civic",1,5483
November,167,"Norway  ","Classic Cars","1993 Mazda RX-7",1,5481
August,157,USA,"Trucks and Buses","1964 Mercedes Tour Bus",1,5479
November,484,Spain,"Trucks and Buses","1964 Mercedes Tour Bus",1,5476
November,452,Austria,"Classic Cars","1968 Dodge Charger",1,5465
March,385,Philippines,"Classic Cars","1968 Ford Mustang",1,5458
September,148,Singapore,"Trucks and Buses","1940s Ford truck",1,5458
October,259,Germany,"Classic Cars","1968 Ford Mustang",1,5458
October,448,Sweden,"Classic Cars","1972 Alfa Romeo GTA",1,5445
March,146,France,"Vintage Cars","1932 Model A Ford J-Coupe",1,5439
November,456,USA,"Classic Cars","1957 Corvette Convertible",1,5424
November,462,USA,"Classic Cars","1992 Ferrari 360 Spider red",1,5421
December,151,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,5413
December,141,Spain,"Classic Cars","1969 Dodge Charger",1,5413
April,450,USA,"Classic Cars","1999 Indy 500 Monte Carlo SS",1,5412
November,131,USA,"Classic Cars","1968 Dodge Charger",1,5402
June,166,Singapore,"Trucks and Buses","1957 Chevy Pickup",1,5397
September,141,Spain,"Classic Cars","1969 Corvair Monza",1,5394
September,166,Singapore,"Vintage Cars","1917 Grand Touring Sedan",1,5386
December,357,"New Zealand","Classic Cars","1957 Corvette Convertible",1,5375
February,124,USA,"Classic Cars","1969 Corvair Monza",1,5366
November,242,France,Planes,"1980s Black Hawk Helicopter",1,5365
December,124,USA,"Trucks and Buses","1958 Setra Bus",1,5358
October,259,Germany,"Classic Cars","1957 Corvette Convertible",1,5357
April,406,France,Motorcycles,"1996 Moto Guzzi 1100i",1,5352
June,141,Spain,Planes,"American Airlines: B767-300",2,5349
January,205,USA,"Vintage Cars","1917 Grand Touring Sedan",1,5346
November,167,"Norway  ","Classic Cars","1948 Porsche Type 356 Roadster",1,5345
October,299,"Norway  ","Classic Cars","1948 Porsche Type 356 Roadster",1,5345
November,216,Spain,"Classic Cars","1972 Alfa Romeo GTA",1,5324
March,124,USA,"Trucks and Buses","1958 Setra Bus",2,5322
September,487,USA,"Vintage Cars","1917 Grand Touring Sedan",1,5318
November,462,USA,"Classic Cars","1965 Aston Martin DB5",1,5311
April,145,Denmark,"Classic Cars","1957 Corvette Convertible",1,5303
August,124,USA,Trains,"Collectable Wooden Train",2,5302
July,379,USA,Planes,"1980s Black Hawk Helicopter",1,5302
July,124,USA,"Classic Cars","1968 Dodge Charger",1,5299
July,282,Australia,"Vintage Cars","18th Century Vintage Horse Carriage",2,5295
July,314,Belgium,"Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",1,5294
October,339,USA,Planes,"1980s Black Hawk Helicopter",1,5289
August,298,Switzerland,"Classic Cars","1968 Dodge Charger",1,5285
May,103,France,"Classic Cars","1999 Indy 500 Monte Carlo SS",1,5283
March,385,Philippines,"Classic Cars","1956 Porsche 356A Coupe",1,5280
September,415,Germany,Planes,"1980s Black Hawk Helicopter",1,5279
July,124,USA,"Trucks and Buses","1962 Volkswagen Microbus",1,5275
September,448,Sweden,"Trucks and Buses","1962 Volkswagen Microbus",1,5275
November,216,Spain,Motorcycles,"1997 BMW F650 ST",1,5274
October,186,Finland,Planes,"1980s Black Hawk Helicopter",1,5273
May,362,USA,"Vintage Cars","1903 Ford Model A",1,5264
May,282,Australia,"Vintage Cars","1932 Model A Ford J-Coupe",1,5263
April,495,USA,"Vintage Cars","1932 Model A Ford J-Coupe",1,5258
May,141,Spain,Motorcycles,"1996 Moto Guzzi 1100i",1,5245
September,166,Singapore,"Classic Cars","1952 Citroen-15CV",1,5243
March,486,USA,"Classic Cars","1995 Honda Civic",1,5243
November,171,France,Motorcycles,"2002 Suzuki XREO",1,5242
May,141,Spain,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,5242
November,121,Norway,"Classic Cars","1972 Alfa Romeo GTA",1,5241
October,473,Italy,Planes,"ATA: B757-300",1,5240
December,141,Spain,"Trucks and Buses","1962 Volkswagen Microbus",1,5239
January,381,Belgium,"Classic Cars","1992 Ferrari 360 Spider red",1,5239
February,141,Spain,"Classic Cars","1970 Triumph Spitfire",1,5239
May,141,Spain,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",2,5234
October,148,Singapore,"Trucks and Buses","1957 Chevy Pickup",1,5233
September,311,Finland,"Trucks and Buses","1964 Mercedes Tour Bus",1,5232
November,167,"Norway  ","Classic Cars","1965 Aston Martin DB5",1,5226
February,298,Switzerland,"Classic Cars","1956 Porsche 356A Coupe",1,5224
January,141,Spain,"Classic Cars","1948 Porsche Type 356 Roadster",1,5213
November,333,Australia,"Trucks and Buses","1940 Ford Pickup Truck",1,5208
March,240,UK,Ships,"18th century schooner",1,5201
August,286,USA,Motorcycles,"1996 Moto Guzzi 1100i",1,5199
February,114,Australia,Motorcycles,"1996 Moto Guzzi 1100i",1,5199
July,412,"New Zealand","Vintage Cars","1928 Mercedes-Benz SSK",1,5198
April,382,Austria,"Classic Cars","1972 Alfa Romeo GTA",1,5192
March,187,UK,"Classic Cars","1952 Citroen-15CV",1,5186
October,161,USA,Motorcycles,"1997 BMW R 1100 S",1,5184
January,205,USA,"Classic Cars","1965 Aston Martin DB5",1,5183
February,473,Italy,"Classic Cars","1992 Ferrari 360 Spider red",1,5182
November,114,Australia,"Trucks and Buses","1940s Ford truck",1,5176
January,381,Belgium,"Classic Cars","1999 Indy 500 Monte Carlo SS",1,5174
December,250,France,"Classic Cars","1993 Mazda RX-7",1,5173
April,177,Japan,"Classic Cars","1993 Mazda RX-7",1,5165
April,323,"New Zealand","Classic Cars","1970 Plymouth Hemi Cuda",1,5161
April,450,USA,"Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",1,5158
May,458,Spain,"Trucks and Buses","1940s Ford truck",1,5146
March,124,USA,"Classic Cars","1969 Ford Falcon",1,5139
February,321,USA,"Classic Cars","1962 LanciaA Delta 16V",1,5139
June,151,USA,"Trucks and Buses","1964 Mercedes Tour Bus",1,5136
August,141,Spain,"Classic Cars","1952 Citroen-15CV",1,5130
April,424,USA,"Trucks and Buses","1957 Chevy Pickup",1,5124
August,298,Switzerland,"Classic Cars","1976 Ford Gran Torino",1,5115
August,205,USA,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,5113
June,151,USA,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,5112
October,148,Singapore,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,5112
January,124,USA,"Trucks and Buses","1957 Chevy Pickup",1,5110
November,157,USA,Planes,"ATA: B757-300",1,5102
April,496,"New Zealand",Motorcycles,"1996 Moto Guzzi 1100i",1,5095
July,353,France,"Classic Cars","1965 Aston Martin DB5",1,5092
November,471,Australia,"Vintage Cars","1932 Model A Ford J-Coupe",1,5090
September,276,Australia,"Classic Cars","1965 Aston Martin DB5",1,5088
June,324,UK,Ships,"18th century schooner",1,5088
December,151,USA,"Classic Cars","1995 Honda Civic",1,5081
May,328,USA,Motorcycles,"1996 Moto Guzzi 1100i",1,5076
March,323,"New Zealand","Classic Cars","1969 Corvair Monza",1,5076
March,187,UK,"Vintage Cars","1928 Mercedes-Benz SSK",1,5074
February,145,Denmark,Ships,"18th century schooner",1,5073
March,448,Sweden,Motorcycles,"1997 BMW R 1100 S",1,5072
