country,city,productLine,No_of_products
Austria,Salzburg,Planes,6
Spain,Barcelona,"Vintage Cars",6
Canada,Tsawassen,"Vintage Cars",6
USA,Philadelphia,Motorcycles,6
USA,Brickhaven,Motorcycles,6
USA,Pasadena,"Classic Cars",6
USA,"San Francisco","Trucks and Buses",6
Australia,"North Sydney",Motorcycles,6
Canada,MontrÃƒÂ©al,Ships,6
USA,"San Diego",Planes,6
"New Zealand","Auckland  ","Trucks and Buses",6
Austria,Salzburg,"Vintage Cars",6
USA,Cambridge,"Vintage Cars",6
Ireland,Dublin,"Classic Cars",6
Germany,Frankfurt,"Vintage Cars",5
Singapore,Singapore,Trains,5
Canada,Vancouver,"Classic Cars",5
Australia,Chatswood,"Trucks and Buses",5
Austria,Graz,"Trucks and Buses",5
Japan,Kita-ku,Motorcycles,5
France,Marseille,"Vintage Cars",5
"New Zealand",Wellington,"Classic Cars",5
Japan,Minato-ku,Ships,5
Philippines,"Makati City",Planes,5
USA,"White Plains",Motorcycles,5
Finland,Oulu,Planes,5
Austria,Salzburg,Motorcycles,5
"New Zealand",Wellington,Motorcycles,5
Spain,Sevilla,"Classic Cars",5
USA,Boston,Motorcycles,5
Japan,Minato-ku,"Classic Cars",5
Canada,MontrÃƒÂ©al,"Trucks and Buses",5
USA,"White Plains","Classic Cars",5
USA,"New Haven","Trucks and Buses",5
Spain,Barcelona,Planes,5
France,Nantes,Ships,5
"New Zealand",Auckland,Motorcycles,5
France,Strasbourg,"Vintage Cars",5
Sweden,LuleÃƒÂ¥,"Vintage Cars",4
Singapore,Singapore,Ships,4
USA,Brickhaven,Ships,4
France,Toulouse,"Classic Cars",4
USA,Pasadena,Planes,4
Finland,Oulu,"Vintage Cars",4
Finland,Espoo,"Trucks and Buses",4
USA,"White Plains","Trucks and Buses",4
Finland,Espoo,Motorcycles,4
Austria,Salzburg,Ships,4
Ireland,Dublin,Planes,4
Japan,Minato-ku,Motorcycles,4
USA,"San Diego","Vintage Cars",4
USA,Glendale,"Vintage Cars",4
Australia,"South Brisbane",Motorcycles,4
Sweden,LuleÃƒÂ¥,"Trucks and Buses",4
Austria,Graz,"Vintage Cars",4
Germany,Munich,"Vintage Cars",4
Italy,Torino,"Classic Cars",4
Italy,Milan,Planes,4
Australia,Melbourne,"Trucks and Buses",4
France,Versailles,"Trucks and Buses",4
USA,Philadelphia,"Trucks and Buses",4
"Norway  ",Bergen,"Vintage Cars",4
Australia,"South Brisbane","Classic Cars",4
France,Reims,"Vintage Cars",4
USA,Burlingame,"Classic Cars",3
USA,Burlingame,"Vintage Cars",3
Italy,Torino,Ships,3
"New Zealand",Auckland,Trains,3
USA,Cambridge,Planes,3
"Hong Kong","Central Hong Kong","Vintage Cars",3
UK,Manchester,Trains,3
"Norway  ",Oslo,"Vintage Cars",3
Sweden,BrÃƒÂ¤cke,Motorcycles,3
USA,Allentown,"Vintage Cars",3
USA,Philadelphia,Planes,3
Sweden,BrÃƒÂ¤cke,Planes,3
France,Toulouse,"Vintage Cars",3
Japan,Kita-ku,"Classic Cars",3
USA,"Los Angeles","Vintage Cars",3
Germany,KÃƒÂ¶ln,Motorcycles,3
Finland,Helsinki,"Vintage Cars",3
"New Zealand",Wellington,Planes,3
Australia,"Glen Waverly","Classic Cars",3
Denmark,Ãƒâ€¦rhus,Trains,3
Italy,Bergamo,Ships,3
France,Paris,Trains,3
Canada,MontrÃƒÂ©al,"Vintage Cars",3
USA,Bridgewater,Planes,3
USA,Newark,"Vintage Cars",3
Japan,Minato-ku,"Trucks and Buses",3
Belgium,Charleroi,"Classic Cars",3
France,Marseille,Motorcycles,3
USA,Nashua,"Trucks and Buses",3
Germany,Munich,Ships,2
Denmark,Kobenhavn,Planes,2
Finland,Helsinki,Ships,2
Spain,Barcelona,Motorcycles,2
Australia,Chatswood,Motorcycles,2
USA,"San Jose",Motorcycles,2
Germany,Frankfurt,Trains,2
Germany,Frankfurt,"Trucks and Buses",2
Belgium,Charleroi,"Vintage Cars",2
USA,"Los Angeles",Planes,2
Sweden,LuleÃƒÂ¥,Ships,2
USA,Glendale,"Classic Cars",2
USA,Brisbane,"Classic Cars",2
Italy,"Reggio Emilia","Vintage Cars",2
USA,Glendale,Ships,2
USA,Bridgewater,Trains,2
USA,Brisbane,"Trucks and Buses",2
USA,"San Jose",Ships,2
USA,"White Plains","Vintage Cars",2
Finland,Espoo,Trains,2
Australia,"Glen Waverly",Planes,2
France,Reims,"Trucks and Buses",2
USA,Burbank,Planes,2
France,Lyon,Trains,2
France,Reims,Trains,2
USA,Newark,Ships,2
Australia,"South Brisbane","Vintage Cars",2
USA,Philadelphia,Ships,2
USA,Allentown,Planes,2
Ireland,Dublin,Motorcycles,2
Norway,Stavern,Trains,2
"New Zealand",Wellington,Ships,2
Ireland,Dublin,Trains,2
USA,Glendale,Motorcycles,2
USA,"Los Angeles",Ships,2
Japan,Kita-ku,"Vintage Cars",2
UK,Liverpool,"Vintage Cars",2
Spain,Sevilla,"Vintage Cars",2
France,Lille,"Classic Cars",2
France,Versailles,"Classic Cars",2
USA,"New Bedford",Trains,2
USA,Allentown,Trains,2
USA,"San Francisco",Ships,2
Australia,"South Brisbane",Planes,2
Denmark,Ãƒâ€¦rhus,"Trucks and Buses",2
France,Reims,Ships,2
Belgium,Bruxelles,Trains,2
Australia,"South Brisbane","Trucks and Buses",2
USA,"New Haven",Trains,2
USA,"New Haven","Vintage Cars",2
USA,Boston,Trains,2
Italy,Bergamo,"Classic Cars",2
Japan,Minato-ku,Trains,2
Italy,"Reggio Emilia",Motorcycles,2
Italy,"Reggio Emilia",Trains,2
Denmark,Kobenhavn,Trains,1
Australia,"South Brisbane",Trains,1
Belgium,Charleroi,Ships,1
Australia,Chatswood,Ships,1
Italy,Milan,"Vintage Cars",1
UK,Cowes,Trains,1
Belgium,Charleroi,Planes,1
USA,"New Haven",Ships,1
Belgium,Bruxelles,"Classic Cars",1
Belgium,Charleroi,Trains,1
USA,Burbank,"Trucks and Buses",1
"New Zealand",Auckland,Ships,1
Italy,Torino,Trains,1
"Hong Kong","Central Hong Kong",Motorcycles,1
Italy,Milan,"Trucks and Buses",1
Sweden,LuleÃƒÂ¥,Trains,1
Ireland,Dublin,"Vintage Cars",1
USA,"White Plains",Trains,1
Spain,Barcelona,"Classic Cars",1
Denmark,Ãƒâ€¦rhus,"Vintage Cars",1
USA,NYC,Planes,1
UK,Cowes,"Classic Cars",1
Philippines,"Makati City","Vintage Cars",1
Singapore,Singapore,Motorcycles,1
Denmark,Ãƒâ€¦rhus,Ships,1
"New Zealand","Auckland  ",Trains,1
Italy,Torino,"Trucks and Buses",1
Italy,Milan,Motorcycles,1
Canada,Tsawassen,Motorcycles,1
USA,Cambridge,Ships,1
Ireland,Dublin,"Trucks and Buses",1
"Norway  ",Bergen,Planes,1
Canada,Tsawassen,"Classic Cars",1
Italy,"Reggio Emilia","Trucks and Buses",1
Australia,"Glen Waverly",Ships,1
Spain,Sevilla,Trains,1
USA,Burbank,"Classic Cars",1
Italy,Milan,"Classic Cars",1
